Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2000-01-03,92.4149169921875,94.20205548150784,91.42206227589841,94.20205548150784,8164300
2000-01-04,88.80089569091797,91.54117377798119,88.73139588436203,91.20360328899514,8089800
2000-01-05,88.95977783203125,89.9327754020691,87.21235362461636,88.9200636454991,12177900
2000-01-06,87.53005981445312,89.91291080758707,87.53005981445312,88.72148531102009,6227200
2000-01-07,92.61347961425781,92.61347961425781,88.99948877167742,89.15834551201063,8066500
2000-01-10,92.93121337890625,93.34821241329878,92.1567866007487,92.93121337890625,5741700
2000-01-11,91.81919860839844,92.83191035775577,91.18377162840952,92.6531965196339,7503700
2000-01-12,90.90579986572266,91.87879772361266,90.78665727087899,91.87879772361266,6907700
2000-01-13,92.13691711425781,92.61348737519364,91.04477693294658,91.79934651276162,5158300
2000-01-14,93.38790130615234,93.70561477008991,92.75247437827717,93.10990202520695,7437300
2000-01-18,92.6532211303711,93.16950568874864,92.25607916238836,92.35536465438405,6488500
2000-01-19,93.40774536132812,93.40774536132812,92.13689168294272,92.33546257019043,6157900
2000-01-20,91.97808837890625,93.3879424969767,91.38237537127085,93.3879424969767,5800100
2000-01-21,91.77949523925781,92.45463648506802,91.54121009367775,92.45463648506802,6244800
2000-01-24,89.17819213867188,92.67304001584984,88.58247943233472,92.5538974745824,7896900
2000-01-25,90.1909408569336,90.1909408569336,88.32437360890371,89.2874428804936,9942500
2000-01-26,89.47607421875,89.94271597288684,89.01936101257351,89.5952167942743,5158100
2000-01-27,89.11865997314453,90.36965720538787,87.7683772462787,90.1313720182939,10922700
2000-01-28,86.33865356445312,88.99950443327482,86.12022550805732,88.60236251255516,11916200
2000-01-31,88.68177795410156,88.75127778008441,85.78264235596032,86.29892677754711,10768700
2000-02-01,89.55552673339844,90.03209716390876,88.02652993551114,88.80095688509041,8419900
2000-02-02,89.6349105834961,90.3894800567289,89.19805457267711,89.77391022330214,6205900
2000-02-03,90.98518371582031,91.02489789465743,88.95976059512768,89.51575909884723,7997500
2000-02-04,90.60794830322266,91.50151781311637,90.31009179992475,90.9852332074,4925400
2000-02-07,90.46892547607422,90.72706771294625,89.87321262175415,90.58806804693823,5845800
2000-02-08,91.70006561279297,91.85892237435692,91.26320951849209,91.48163756564253,4936400
2000-02-09,89.77395629882812,91.79938066124362,89.76402774803196,91.79938066124362,8511500
2000-02-10,89.95265197753906,90.5880790996762,89.51579583106978,89.99236617267263,6690600
2000-02-11,88.12576293945312,90.19090024132404,87.70876406119073,90.13132897300085,9849800
2000-02-14,88.64205169677734,88.82076551068214,87.88748226029044,88.82076551068214,8528800
2000-02-15,89.6448745727539,89.7342315193875,87.55987915130322,88.4832342665171,11078300
2000-02-16,88.32433319091797,89.55547272730217,88.19526211049059,89.19804511996482,8845400
2000-02-17,87.86766815185547,89.23780806202,87.82795395156084,89.23780806202,7584200
2000-02-18,85.98124694824219,88.24495645219127,85.54439072818182,88.24495645219127,9409200
2000-02-22,85.76280975341797,86.63652210098694,84.84938320823223,85.90180944507667,16415400
2000-02-23,86.7755126953125,87.35136850038437,85.46494431135584,86.17979979351402,12119000
2000-02-24,85.028076171875,87.07335684578979,84.57136301168045,86.85492881265327,17375000
2000-02-25,84.72030639648438,86.87480147301515,84.59123526286733,85.90180369651738,10559900
2000-02-28,86.49749755859375,86.8549252344557,84.33307441031856,84.75007336549085,13397800
2000-02-29,87.33151245117188,87.33151245117189,86.2592292150729,86.45780018472087,8242500
2000-03-01,87.96692657470703,88.32435426733564,87.19249990734505,87.45064212979905,6868000
2000-03-02,88.0264892578125,88.4037740076204,87.27191975819669,88.12577471828826,7600200
2000-03-03,89.67462158203125,90.05190630525061,88.78105250072227,89.23776558672463,12770300
2000-03-06,88.80089569091797,89.81360715787612,88.16546888812071,89.47603666889007,11967100
2000-03-07,87.08329010009766,89.05907105208938,85.92165004289649,88.95978557711491,20062000
2000-03-08,86.97407531738281,87.58964525684375,85.80250672292492,86.71593308470565,11808500
2000-03-09,89.51577758789062,89.51577758789062,86.4974993728597,87.21235473957756,5500900
2000-03-10,89.03925323486328,90.23067946012907,88.6619682635291,89.07896744237213,7924600
2000-03-13,88.06623077392578,89.25765666940167,86.21952063593817,86.85494778019196,10540500
2000-03-14,86.81523132324219,89.01936917248278,86.51737485712859,88.50308463121922,8263900
2000-03-15,88.84066009521484,89.23780207150101,86.45780823749786,86.97409280666987,10300800
2000-03-16,92.9907455444336,93.3084589607716,89.51575505323652,89.99232517774354,25601400
2000-03-17,93.60535430908203,94.28221140106604,92.64979135569284,92.88868209404015,10272900
2000-03-20,93.12762451171875,93.86420469704017,92.2317837457873,93.56559110839635,12502300
2000-03-21,95.03872680664062,95.39706301998783,92.05259169541397,92.70954141988383,13612600
2000-03-22,95.61605072021484,96.09383236029088,94.72021014507229,95.27762205849432,8260000
2000-03-23,97.24842071533203,97.76601722272171,95.01877422196105,95.01877422196105,11654500
2000-03-24,97.82576751708984,99.21929696890024,96.65122126484965,97.38780111794942,11462900
2000-03-27,96.79055786132812,97.96510391517806,96.71092762038914,97.70630563212637,8798600
2000-03-28,96.233154296875,97.45746935464452,95.93454086815073,96.3525996683647,6334400
2000-03-29,96.33270263671875,97.13895898240735,95.33732443216492,96.55168584172058,6747500
2000-03-30,94.72014617919922,96.78057811058785,93.72476843456703,95.65580125915348,9491900
2000-03-31,95.79521942138672,97.02948866580194,94.56095017697152,95.31743777838729,9249100
2000-04-03,96.3526611328125,96.3526611328125,94.72024001444667,95.63598844670068,8508200
2000-04-04,95.63594055175781,97.46743649904376,90.0717762336445,96.67113391326725,19585500
2000-04-05,95.03872680664062,96.07392031186588,94.04334843623174,94.20260897549716,8387200
2000-04-06,95.86487579345703,96.63131701826195,94.91926649012629,95.71556906135218,6378500
2000-04-07,96.4720458984375,96.91001226446424,95.87481903567374,96.55167614680599,6023600
2000-04-10,96.09381103515625,97.53710941925586,95.75538244853978,96.67113038879609,9624200
2000-04-11,95.8150863647461,96.5914812054328,94.5210949636016,95.5562880845172,9006400
2000-04-12,93.18728637695312,96.29286567086568,93.10765613864768,95.79517668145662,10779200
2000-04-13,91.89334106445312,94.38178725878947,91.59472752113275,93.94382072858627,12225800
2000-04-14,86.6377182006836,90.97756713628769,85.04511308670044,90.85812175273895,29604000
2000-04-17,89.6636734008789,89.6636734008789,85.80160576327444,86.1201268055511,23918200
2000-04-18,92.03268432617188,92.03268432617188,89.04654920851543,89.5442383947915,11069200
2000-04-19,91.17668151855469,92.45076615112838,90.79843764325936,92.0526147034491,6553700
2000-04-20,91.61460876464844,91.69423901998495,90.69886082827864,91.45534825397543,8537600
2000-04-24,90.61920166015625,91.29605861455988,89.50437844113851,90.14142028057722,12893100
2000-04-25,94.38178253173828,94.38178253173828,92.01278187337995,92.13222728472574,14102000
2000-04-26,93.31673431396484,94.76003313802083,93.00816697916666,94.26234388834635,7711100
2000-04-27,93.0081558227539,93.864181229513,91.09702933324526,91.09702933324526,15595300
2000-04-28,92.43085479736328,94.19267488126737,92.41094722579375,93.64521666310509,8743400
2000-05-01,93.68497467041016,94.59076862440584,92.90857985269957,93.36645371955454,7328300
2000-05-02,91.81370544433594,93.72483201039323,91.81370544433592,92.68963845377885,9411900
2000-05-03,89.6636734008789,91.73406017567717,89.04653888146788,91.73406017567717,12630700
2000-05-04,90.34050750732422,90.68888980820086,89.66365046562105,90.45995286762478,5963600
2000-05-05,91.4354019165039,91.73401524738733,89.78307481894898,89.86270504051788,7862400
2000-05-08,90.74866485595703,91.33593821632793,90.3604672109661,90.937786785568,5064100
2000-05-09,90.0219955444336,91.35580220110698,89.35509221609689,91.13681901866806,5620300
2000-05-10,87.99143981933594,89.80302828620461,87.7525490324961,89.50441480265484,10293900
2000-05-11,90.00212097167969,90.1414739570373,88.62849868744038,89.26554090621804,7091100
2000-05-12,90.97754669189453,91.39560544036931,90.22105943274967,90.34050478945674,5960800
2000-05-15,92.55026245117188,92.7592918673339,90.45996828955151,90.9377498122076,4441300
2000-05-16,93.44611358642578,94.10306325586592,92.57018069383892,93.36648332346334,8192200
2000-05-17,92.47064208984375,93.1275917537759,92.03267564722232,92.80907070459668,5907200
2000-05-18,91.33589935302734,93.20721028135877,91.33589935302734,92.76924389387695,4325600
2000-05-19,89.90253448486328,91.24629468808034,89.44466063784117,90.8182821789075,6518400
2000-05-22,89.22573852539062,90.12157927363752,87.27479645143073,89.98222626835468,10839400
2000-05-23,87.91183471679688,89.70351613086204,87.63312871905342,89.46462527565335,7979200
2000-05-24,89.34516143798828,89.62386737830286,86.95625337814901,87.91181660208471,11081500
2000-05-25,87.81230926513672,90.34057117324653,87.7326789688183,89.62389850638075,8278900
2000-05-26,87.91183471679688,88.98684356523597,87.48382193454799,88.42943156974904,4814000
2000-05-30,90.77851104736328,91.05721700233325,88.84747693078559,89.185905590392,5362700
2000-05-31,90.97754669189453,91.73403395103938,90.51967282451737,90.81828621628509,6056500
2000-06-01,92.57013702392578,92.64976724932271,91.09697785408267,91.53494409376576,8961600
2000-06-02,94.18263244628906,94.97893455955297,93.95369558872568,94.87939679539498,8962200
2000-06-05,93.72480773925781,94.4215724526975,93.56554723332874,93.94379093491028,6998100
2000-06-06,93.30680084228516,94.14291896376498,92.94846450450808,93.4063387138899,4858900
2000-06-07,93.95374298095703,94.28221776836794,93.00813374447108,93.40628500193884,4919500
2000-06-08,93.58547973632812,94.1229840870792,93.04797538557703,93.9637235387085,5723100
2000-06-09,93.38639068603516,94.26232357671635,92.76925614941885,93.96371009125686,3085300
2000-06-12,92.29149627685547,93.62530349224573,92.29149627685547,93.62530349224573,3678900
2000-06-13,94.02349090576172,94.12302879577416,92.13227099552513,92.25171646354008,6558700
2000-06-14,94.18263244628906,94.83958168973179,93.7645738368255,94.44143063309983,6420500
2000-06-15,94.38178253173828,94.7600263343333,93.5456646523177,94.36187496318065,5881200
2000-06-16,93.60626220703125,94.70375622139636,93.1473101646604,94.70375622139636,5567900
2000-06-19,94.80355834960938,95.24255609401928,93.38679290174109,93.52647400223515,5106900
2000-06-20,94.46427154541016,95.06290444493746,93.86563864588284,94.6239069852841,6480000
2000-06-21,94.42439270019531,94.78357255408447,93.79582795588928,93.82575961038003,3115000
2000-06-22,92.98763275146484,94.30462497498345,92.58854419888345,94.22480726446717,7490500
2000-06-23,92.18949127197266,93.30693965102687,91.8702203065286,93.10739529762434,4863300
2000-06-26,93.37677001953125,93.3867472361163,92.50875217663146,92.82802310735322,5201300
2000-06-27,92.68836212158203,93.68608399587247,92.59856715289588,93.21715471495597,4159500
